manufacturer,brand_name,product_type,material_type,r-value,gem_name,zone_1-2_total_fill_between_truss,zone_1-2_total_fill_over_truss,zone_1-2_top-up_fill_over_truss,zone_3_total_fill_between_truss,zone_3_total_fill_over_truss,zone_3_top-up_fill_over_truss,comments
CSR Bradford Insulation,Bradford Gold,Segment,Glass Wool,2.2,Bradford Gold Ceiling Seg R2.2,Lower Spec,No,Yes,Lower Spec,No,Lower Spec,
CSR Bradford Insulation,Bradford Gold,Segment,Glass Wool,2x 2.7,Bradford Gold Ceiling Seg R2.7,Lower Spec,No,Yes,Lower Spec,No,Yes,
CSR Bradford Insulation,Bradford Gold,Segment,Glass Wool,3.2,Bradford Gold Ceiling Seg R3.2,Lower Spec,No,Yes,Lower Spec,No,Yes,
CSR Bradford Insulation,Bradford Gold,Segment,Glass Wool,3.6,Bradford Gold Ceiling Seg R3.6,Yes,No,Yes,Lower Spec,No,Yes,
CSR Bradford Insulation,Bradford Gold,Segment,Glass Wool,4.0,Bradford Gold Ceiling Seg R4.0,Yes,No,Yes,Yes,No,Yes,
CSR Bradford Insulation,Bradford Gold,Segment,Glass Wool,5.0,Bradford Gold Ceiling Seg R5.0,Yes,No,Yes,Yes,No,Yes,
CSR Bradford Insulation,Bradford Gold,Segment,Glass Wool,6.0,Bradford Gold Ceiling Seg R6.0,Yes,No,Yes,Yes,No,Yes,
Eco Insulation Ltd,Ecofleece,Blanket,Sheep Wool,1.8,Ecofleece Ceiling Blkt R1.8,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
Eco Insulation Ltd,Ecofleece,Blanket,Sheep Wool,3.6,Ecofleece Ceiling Blkt R1.8 (x2),Yes,Yes,Yes,Lower Spec,Yes,Yes,* Two layers of R1.8 blanket. First layer between joists/trusses.Second layer perpendicular to first layer and over joists/trusses. 
Eco Insulation Ltd,Ecofleece,Blanket,Sheep Wool,2.6,Ecofleece Ceiling Blkt R2.6,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
Eco Insulation Ltd,Ecofleece,Blanket,Sheep Wool,2.9,Ecofleece Ceiling Blkt R2.9,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Eco Insulation Ltd,Ecofleece,Blanket,Sheep Wool,3.2,Ecofleece Ceiling Blkt R3.2,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Eco Insulation Ltd,Ecotherm,Blanket,Polyester,1.8,Ecotherm Ceiling Blkt R1.8,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
Eco Insulation Ltd,Eco Insulation,Blanket,Glass Wool,1.8,Eco Ins Glass Ceiling Blkt R1.8,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
Eco Insulation Ltd,Eco Insulation,Blanket,Glass Wool,2.9,Eco Ins Glass Ceiling Blkt R2.9,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Eco Insulation Ltd,Eco Insulation,Blanket,Glass Wool,3.2,Eco Ins Glass Ceiling Blkt R3.2,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Eco Insulation Ltd,Eco Insulation,Blanket,Glass Wool,3.6,Eco Ins Glass Ceiling Blkt R3.6,Yes,Yes,Yes,Lower Spec,Yes,Yes,
Eco Insulation Ltd,Eco Insulation,Segment,Glass Wool,2.9,Eco Ins Glass Ceiling Seg R2.9,Lower Spec,No,Yes,Lower Spec,No,Yes,
Eco Insulation Ltd,Eco Insulation,Segment,Glass Wool,3.3,Eco Ins Glass Ceiling Seg R3.3,Lower Spec,No,Yes,Lower Spec,No,Yes,
Eco Insulation Ltd,Eco Insulation,Segment,Glass Wool,3.6,Eco Ins Glass Ceiling Seg R3.6,Yes,No,Yes,Lower Spec,No,Yes,
Eco Insulation Ltd,Eco Insulation,Segment,Glass Wool,4.2,Eco Ins Glass Ceiling Seg R4.2,Yes,No,Yes,Yes,No,Yes,
Eco Insulation Ltd,Eco Insulation,Segment,Glass Wool,5.2,Eco Ins Glass Ceiling Seg R5.2,Yes,No,Yes,Yes,No,Yes,
Eco Insulation Ltd,Eco Insulation,Segment,Glass Wool,6.3,Eco Ins Glass Ceiling Seg R6.3,Yes,No,Yes,Yes,No,Yes,
Ellis Fibre,Technobond,Blanket,Polyester,2.6,Technobond Ceiling Blkt R2.6,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
Ellis Fibre,Technobond,Blanket,Polyester,3.2,Technobond Ceiling Blkt R3.2,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Ellis Fibre,Technobond,Blanket,Polyester,3.4,Technobond Ceiling Blkt R3.4,Yes,Yes,Yes,Lower Spec,Yes,Yes,
Inzone Industries Ltd,Novatherm,Blanket,Polyester,1.8,Novatherm Ceiling Blkt R1.8,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
Inzone Industries Ltd,Mammoth,Blanket,Polyester,1.8,Mammoth Ceiling Blkt R1.8,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
Inzone Industries Ltd,Novatherm ,Blanket,Polyester,2.6,Novatherm Ceiling Blkt R2.6,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
Inzone Industries Ltd,Mammoth ,Blanket,Polyester,2.6,Mammoth Ceiling Blkt R2.6,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
Inzone Industries Ltd,Premier Novatherm,Blanket,Polyester,2.6,Prem/Nova Ceiling Blkt R2.6,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
Inzone Industries Ltd,Novatherm,Blanket,Polyester,2.9,Novatherm Ceiling Blkt R2.9,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Inzone Industries Ltd,Mammoth,Blanket,Polyester,2.9,Mammoth Ceiling Blkt R2.9,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Inzone Industries Ltd,Premier Novatherm,Blanket,Polyester,2.9,Prem/Nova Ceiling Blkt R2.9,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Inzone Industries Ltd,Enviroblanket,Blanket,Polyester,2.9,EnviroBlkt Ceiling Blkt R2.9 ,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Inzone Industries Ltd,Enviroblanket,Blanket,Polyester,3.0,EnviroBlkt Ceiling Blkt R3.0,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Inzone Industries Ltd,Novatherm,Blanket,Polyester,3.2,Novatherm Ceiling Blkt R3.2,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Inzone Industries Ltd,Mammoth,Blanket,Polyester,3.2,Mammoth Ceiling Blkt R3.2,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Inzone Industries Ltd,Premier Novatherm,Blanket,Polyester,3.2,Prem/Nova Ceiling Blkt R3.2,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Inzone Industries Ltd,Mammoth,Blanket,Polyester,3.3,Mammoth Ceiling Blkt R3.3,Lower Spec,Yes,Yes,Lower Spec,Yes,Yes,
Inzone Industries Ltd,Novatherm,Blanket,Polyester,3.6,Novatherm Ceiling Blkt R3.6,Yes,Yes,Yes,Lower Spec,Yes,Yes,
Inzone Industries Ltd,Mammoth,Blanket,Polyester,3.6,Mammoth Ceiling Blkt R3.6,Yes,Yes,Yes,Lower Spec,Yes,Yes,
Inzone Industries Ltd,Premier Novatherm,Blanket,Polyester,3.6,Prem/Nova Ceiling Blkt R3.6,Yes,Yes,Yes,Lower Spec,Yes,Yes,
Inzone Industries Ltd,Novatherm,Blanket,Polyester,4.0,Novatherm Ceiling Blkt R4.0,Yes,Yes,Yes,Yes,Yes,Yes,
Inzone Industries Ltd,Mammoth,Blanket,Polyester,4.0,Mammoth Ceiling Blkt R4.0,Yes,Yes,Yes,Yes,Yes,Yes,
Inzone Industries Ltd,Premier Novatherm,Blanket,Polyester,4.0,Prem/Nova Ceiling Blkt R4.0,Yes,Yes,Yes,Yes,Yes,Yes,
Knauf Insulation Pty  Ltd,Earthwool,Blanket,Glass Wool,1.8,Earthwool Ceiling Blkt R1.8,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
Knauf Insulation Pty  Ltd,Earthwool,Blanket,Glass Wool,2.9,Earthwool Ceiling Blkt R2.9,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Knauf Insulation Pty  Ltd,Earthwool,Blanket,Glass Wool,3.2,Earthwool Ceiling Blkt R3.2,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Knauf Insulation Pty  Ltd,Earthwool,Blanket,Glass Wool,3.6,Earthwool Ceiling Blkt R3.6,Yes,Yes,Yes,Lower Spec,Yes,Yes,
Knauf Insulation Pty  Ltd,Earthwool,Segment,Glass Wool,2.9,Earthwool Ceiling Seg R2.9,Lower Spec,No,Yes,Lower Spec,No,Yes,
Knauf Insulation Pty  Ltd,Earthwool,Segment,Glass Wool,3.2,Earthwool Ceiling Seg R3.2,Lower Spec,No,Yes,Lower Spec,No,Yes,
Knauf Insulation Pty  Ltd,Earthwool,Segment,Glass Wool,6.4,Earthwool Ceiling Seg R3.2 (x2),Yes,No,Yes,Yes,No,Yes,* Two layers of R3.2 segments. First layer between joists/trusses.Second layer perpendicular to first layer and over joists/trusses. 
Knauf Insulation Pty  Ltd,Earthwool,Segment,Glass Wool,3.3,Earthwool Ceiling Seg R3.3,Lower Spec,No,Yes,Lower Spec,No,Yes,
Knauf Insulation Pty  Ltd,Earthwool,Segment,Glass Wool,3.6,Earthwool Ceiling Seg R3.6,Yes,No,Yes,Lower Spec,No,Yes,
Knauf Insulation Pty  Ltd,Earthwool,Segment,Glass Wool,4.1,Earthwool Ceiling Seg R4.1,Yes,No,Yes,Yes,No,Yes,
Knauf Insulation Pty  Ltd,Earthwool,Segment,Glass Wool,5.2,Earthwool Ceiling Seg R5.2,Yes,No,Yes,Yes,No,Yes,
Knauf Insulation Pty  Ltd,Earthwool,Segment,Glass Wool,6.3,Earthwool Ceiling Seg R6.3,Yes,No,Yes,Yes,No,Yes,
PGF Insulation Sdn Bhd / Number 8 Marketing,Brownie,Segment,Glass Wool,3.6,Brownie Slab R3.6,Yes,No,Yes,Lower Spec,No,Yes,
PGF Insulation Sdn Bhd / Number 8 Marketing,Brownie,Segment,Glass Wool,4.0,Brownie Slab R4.0,Yes,No,Yes,Yes,No,Yes,
PGF Insulation Sdn Bhd / Enveloped Solutions,Eliment,Segment,Glass Wool,3.6,Eliment Slab R3.6,Yes,No,Yes,Lower Spec,No,Yes,
PGF Insulation Sdn Bhd / Enveloped Solutions,Eliment,Segment,Glass Wool,4.0,Eliment Slab R4.0,Yes,No,Yes,Yes,No,Yes,
PIL Group Limited,Premier,Blanket,Polyester,1.8,Premier Poly Ceiling Blkt R1.8,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
PIL Group Limited,Temper Cloud,Blanket,Polyester,1.8,Temper Cloud Poly Ceiling Blkt R1.8,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
PIL Group Limited,Premier,Blanket,Polyester,2.4,Premier Poly Ceiling Blkt R2.4,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
PIL Group Limited,Temper Cloud,Blanket,Polyester,2.4,Temper Cloud Poly Ceiling Blkt R2.4,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
PIL Group Limited,Premier,Blanket,Polyester,2.9,Premier Poly Ceiling Blkt R2.9,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
PIL Group Limited,Temper Cloud,Blanket,Polyester,2.9,Temper Cloud Poly Ceiling Blkt R2.9,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
PIL Group Limited,Premier,Blanket,Polyester,3.3,Premier Poly Ceiling Blkt R3.3,Lower Spec,Yes,Yes,Lower Spec,Yes,Yes,
PIL Group Limited,Temper Cloud,Blanket,Polyester,3.3,Temper Cloud Poly Ceiling Blkt R3.3,Lower Spec,Yes,Yes,Lower Spec,Yes,Yes,
PIL Group Limited,Premier,Blanket,Polyester,3.6,Premier Poly Ceiling Blkt R3.6,Yes,Yes,Yes,Lower Spec,Yes,Yes,
PIL Group Limited,Temper Cloud,Blanket,Polyester,3.6,Temper Cloud Poly Ceiling Blkt R3.6,Yes,Yes,Yes,Lower Spec,Yes,Yes,
Premier Insulation Ltd,Premier Insulation,Blanket,Glass Wool,1.8,Premier Glass Ceiling Blkt R1.8,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
Premier Insulation Ltd,Premier Insulation,Blanket,Glass Wool,2.2,Premier Glass Ceiling Blkt R2.2,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
Premier Insulation Ltd,Premier Insulation,Blanket,Glass Wool,2.4,Premier Glass Ceiling Blkt R2.4,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
Premier Insulation Ltd,Premier Insulation,Blanket,Glass Wool,2.7,Premier Glass Ceiling Blkt R2.7,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
Premier Insulation Ltd,Premier Insulation,Blanket,Glass Wool,2.9,Premier Glass Ceiling Blkt R2.9,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Premier Insulation Ltd,Premier Insulation,Blanket,Glass Wool,3.3,Premier Glass Ceiling Blkt R3.3,Lower Spec,Yes,Yes,Lower Spec,Yes,Yes,
Premier Insulation Ltd,Premier Insulation,Blanket,Glass Wool,3.6,Premier Glass Ceiling Blkt R3.6,Yes,Yes,Yes,Lower Spec,Yes,Yes,
Premier Insulation Ltd,Premier Insulation,Blanket,Glass Wool,4.1,Premier Glass Ceiling Blkt R4.1,Yes,Yes,Yes,Yes,Yes,Yes,
Premier Insulation Ltd,Premier Insulation,Segment,Glass Wool,3.6,Premier Glass Ceiling Seg R3.6,Yes,No,Yes,Lower Spec,No,Yes,
Premier Insulation Ltd,Premier Insulation,Segment,Glass Wool,4.1,Premier Glass Ceiling Seg R4.1,Yes,No,Yes,Yes,No,Yes,
Premier Insulation Ltd,Temper Guard,Blanket,Glass Wool,1.8,Temper Guard Ceiling Blkt R1.8,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
Premier Insulation Ltd,Temper Guard,Blanket,Glass Wool,2.2,Temper Guard Ceiling Blkt R2.2,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
Premier Insulation Ltd,Temper Guard,Blanket,Glass Wool,2.4,Temper Guard Ceiling Blkt R2.4,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
Premier Insulation Ltd,Temper Guard,Blanket,Glass Wool,2.7,Temper Guard Ceiling Blkt R2.7,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
Premier Insulation Ltd,Temper Guard,Blanket,Glass Wool,2.9,Temper Guard Ceiling Blkt R2.9,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Premier Insulation Ltd,Temper Guard,Blanket,Glass Wool,3.3,Temper Guard Ceiling Blkt R3.3,Lower Spec,Yes,Yes,Lower Spec,Yes,Yes,
Premier Insulation Ltd,Temper Guard,Blanket,Glass Wool,3.6,Temper Guard Ceiling Blkt R3.6,Yes,Yes,Yes,Lower Spec,Yes,Yes,
Premier Insulation Ltd,Temper Guard,Blanket,Glass Wool,4.1,Temper Guard Ceiling Blkt R4.1,Yes,Yes,Yes,Yes,Yes,Yes,
Premier Insulation Ltd,Temper Guard,Segment,Glass Wool,2.2,Temper Guard Ceiling Seg R2.2,Lower Spec,No,Yes,Lower Spec,No,Lower Spec,
Premier Insulation Ltd,Temper Guard,Segment,Glass Wool,3.6,Temper Guard Ceiling Seg R3.6,Yes,No,Yes,Lower Spec,No,Yes,
Premier Insulation Ltd,Temper Guard,Segment,Glass Wool,4.1,Temper Guard Ceiling Seg R4.1,Yes,No,Yes,Yes,No,Yes,
Premier Insulation Ltd,Temper Cloud,Blanket,Glass Wool,2.9,Temper Cloud Glass Ceiling Blkt R2.9,Lower Spec,Yes,Yes,Lower Spec,Lower Spec,Yes,
Tasman Insulation NZ Ltd,Pink Batts,Segment,Glass Wool,1.8,Pink Batts Ceiling Seg R1.8,Lower Spec,No,Yes,Lower Spec,No,Lower Spec,
Tasman Insulation NZ Ltd,Pink Batts,Segment,Glass Wool,2.6,Pink Batts Ceiling Seg R2.6,Lower Spec,No,Yes,Lower Spec,No,Yes,
Tasman Insulation NZ Ltd,Pink Batts,Segment,Glass Wool,2.9,Pink Batts Ceiling Seg R2.9,Lower Spec,No,Yes,Lower Spec,No,Yes,
Tasman Insulation NZ Ltd,Pink Batts,Segment,Glass Wool,3.3,Pink Batts Ceiling Seg R3.3,Lower Spec,No,Yes,Lower Spec,No,Yes,
Tasman Insulation NZ Ltd,Pink Batts,Segment,Glass Wool,3.6,Pink Batts Ceiling Seg R3.6,Yes,No,Yes,Lower Spec,No,Yes,
Tasman Insulation NZ Ltd,Pink Batts,Segment,Glass Wool,4.0,Pink Batts Ceiling Seg R4.0,Yes,No,Yes,Yes,No,Yes,
Tasman Insulation NZ Ltd,Pink Batts,Segment,Glass Wool,5.0,Pink Batts Ceiling Seg R5.0,Yes,No,Yes,Yes,No,Yes,
Tasman Insulation NZ Ltd,Pink Batts,Segment,Glass Wool,6.0,Pink Batts Ceiling Seg R6.0,Yes,No,Yes,Yes,No,Yes,
Terra Lana Products Ltd,Terra Lana,Blanket,Sheep Wool / Polyester blend,1.9,T.Lana Ceiling Blkt R1.9,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Lower Spec,
Terra Lana Products Ltd,Terra Lana,Blanket,Sheep Wool / Polyester blend,3.8,T.Lana Ceiling Blkt R1.9 (x2),Yes,Yes,Yes,Lower Spec,Yes,Yes,* Two layers of R1.9 blankets. First layer between joists/trusses.Second layer perpendicular to first layer and over joists/trusses. 
Terra Lana Products Ltd,Terra Lana,Blanket,Sheep Wool / Polyester blend,2.6,T.Lana Ceiling Blkt R2.6,Lower Spec,Lower Spec,Yes,Lower Spec,Lower Spec,Yes,
